Name,Price,Condition,Shipping
"DELL LATITUDE 5480 Laptop Computer 14"" Windows 11 Pro i5 16GB 256GB SSD WiFi BT",EUR 141.21,Excellent - Refurbished,+EUR 37.25 shipping
"HP Laptop 15.6"" Full HD  Intel - 8GB RAM 256GB SSD - Windows 11 + Ms Office Pro",EUR 315.78,New (Other),+EUR 34.82 shipping estimate
Lenovo IdeaPad 1 15.6  FHD Laptop Intel Core i5-1235U 8GB RAM 256GB SSD Cloud Gr,EUR 300.66,Brand New,+EUR 49.61 shipping
"DELL Inspiron 16 5645 Ryzen 7 5.1ghz, 16GB Ram,1TB SSD, 16"" FHD, Ice Blue Laptop",EUR 667.29,Certified - Refurbished,+EUR 52.62 shipping estimate
"Fujitsu Laptop U727 12.5"" WXGA Notebook Intel i5-6200U 8GB 256GB SSD",EUR 149.99,Very Good - Refurbished,+EUR 19.90 shipping
STUDENT WINDOWS 11 LAPTOP Intel Core i5 4GB /8GB RAM 320GB hdd / 128 /256GB SSD,EUR 119.15 to EUR 189.47,Good - Refurbished,+EUR 26.23 shipping estimate
"SGIN15.6"""" FHD Laptop Quad-Core Processor 12GB Memory 512GB SSD MINI HDMI Win11",EUR 259.99,Brand New,+EUR 8.00 shipping
"Dynabook PORTEGE X30W-J Intel i5 1135G7 2.40GHz 8GB RAM 256GB SSD 13.3"" Win 11 -",EUR 171.96,Pre-Owned,+EUR 30.20 shipping
"2024 HP Laptop Computer 14"" HD Quad-Core Intel Pentium Upto 32GB RAM & 1TB SSD",EUR 208.65 to EUR 354.43,Brand New,+EUR 42.87 shipping
"ASUS Vivobook 16""  WUXGA Notebook Intel Core i7-1355U 16GB RAM 1TB SSD",EUR 464.66,Brand New,+EUR 54.94 shipping
"Samsung - Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD",EUR 519.33,Brand New,+EUR 52.38 shipping
Lenovo ThinkPad X13 Yoga i5-10310U 512GB NVMe 16GB FullHD LTE Windows 11 Pro Memory,EUR 389.00,Very Good - Refurbished,+EUR 20.99 shipping
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook R7-7435HS 16GB RAM 512GB SSD RTX 4050",EUR 637.78,Brand New,+EUR 63.27 shipping
"HP EliteBook 830 G6 Laptop, 13.3"" Full HD Screen, i5-8265U, 16GB RAM, 256GB SSD",EUR 273.95,Very Good - Refurbished,+EUR 28.91 shipping estimate
Lenovo ThinkPad X13 Yoga i5-10310U 512GB NVMe 16GB FullHD LTE B-Ware Memory,EUR 309.00,Good - Refurbished,+EUR 20.99 shipping
ASUS Vivobook 15 Notebook 15.6  FHD Display AMD Ryzen 7 7730U 16GB RAM 512 GB SS,EUR 400.88,Brand New,+EUR 48.53 shipping
"Lenovo ThinkPad X1 Carbon Gen 11 - i7-1365U, 32GB RAM, 1TB SSD, WWAN, 2YR WRTY","EUR 1,132.02",New (Other),+EUR 62.98 shipping estimate
"Microsoft Surface Pro Copilot+ 13"" Touch X+ 16GB 256GB Platinum + Pro Keyboard",EUR 820.00,Brand New,+EUR 69.19 shipping
Dell Latitude 5440 - i7-1355U - 512GB NVME - 16GB - Win11,EUR 600.00,Brand New,+EUR 20.00 shipping
Dell Latitude 5420 Intel i71185G7 32GB RAM 512GB SSD 14 Inch FHD Win 11 Pro,EUR 341.58,Excellent - Refurbished,+EUR 56.49 shipping
"Acer Nitro V 15.6"" FHD 144Hz Gaming Laptop i5-13420H 16GB RAM 512GB SSD RTX 4050",EUR 619.55,Brand New,+EUR 59.97 shipping
2024 Dell Inspiron 15 Laptop Touch Intel i5-1235U UP 64GB RAM&1TB SSD Win 11 PRO,EUR 409.09 to EUR 636.87,Brand New,+EUR 58.28 shipping
"15.6"" Dell Gaming Laptop PC: Intel i7! 16GB RAM! 512 SSD! AMD FirePro W5130M!",EUR 245.96,Good - Refurbished,+EUR 45.57 shipping
Lenovo ThinkPad X13 Yoga 13.3 inch Laptop i5-10310U 8GB 512GB SSD Touch Win11g,EUR 299.00 to EUR 449.00,Good - Refurbished,+EUR 19.90 shipping
Panasonic Toughpad FZ-G1 MK4 i5-6300U 128GB SSD 4GB Memory WWAN Pen Win 10 Pro,EUR 279.00,Very Good - Refurbished,+EUR 20.99 shipping
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 8GB 128GB SSD Webcam Win11 Home Red",EUR 177.09,Certified - Refurbished,+EUR 41.26 shipping
"15.6"" Dell Latitude Laptop PC: Intel i7 Quad-Core! 32GB RAM! 1TB SSD! Windows 11",EUR 327.96,Good - Refurbished,+EUR 53.20 shipping
" CHUWI HeroBook Pro Windows 11 14.1""""' Intel N4020 Laptop PC 8G 256G SSD",EUR 132.99,Brand New,Free International Shipping & returns
Shop on eBay,$20.00,Brand New,Free shipping
Shop on eBay,$20.00,Brand New,Free shipping
"Dynabook PORTEGE X30W-J Intel i5 1135G7 2.40GHz 8GB RAM 256GB SSD 13.3"" Win 11 -",EUR 171.96,Pre-Owned,+EUR 30.20 shipping
" CHUWI HeroBook Pro Windows 11 14.1""""' Intel N4020 Laptop PC 8G 256G SSD",EUR 132.99,Brand New,Free International Shipping
"Dell Latitude Laptop PC Computer 15.6"" Core i5 16GB RAM 256GB SSD Windows 11",EUR 157.60,Very Good - Refurbished,+EUR 40.62 shipping
HP Elitebook 840 G3 i5-6300 8GB 500GB WIN11,EUR 144.81,Pre-Owned,Free International Shipping
Dell Latitude 5420 Intel i71185G7 32GB RAM 512GB SSD 14 Inch FHD Win 11 Pro,EUR 341.58,Excellent - Refurbished,+EUR 56.49 shipping
Lenovo IdeaPad Slim 5 16  WUXGA Notebook AMD Ryzen 7 8845HS 16GB LPDDR5X 512GB S,EUR 473.77,Brand New,+EUR 52.97 shipping
"HP Laptop 15.6"" Full HD  Intel - 8GB RAM 256GB SSD - Windows 11 + Ms Office Pro",EUR 315.78,New (Other),+EUR 34.82 shipping estimate
Lenovo ThinkPad T490 i5 8365u 16GB 512GB SSD Win11 Pro Webcam #92A,EUR 199.00,Pre-Owned,+EUR 17.99 shipping
"Legion 5i 16"" WQXGA 165Hz Gaming Laptop i7-14650HX 16GB RAM 512GB SSD RTX 4060",EUR 984.00,Brand New,+EUR 80.50 shipping
Lenovo ThinkPad X13 Yoga i5-10310U 512GB NVMe 16GB FullHD LTE Memory US-QWERTY,EUR 389.00,Very Good - Refurbished,+EUR 20.99 shipping
"15.6"" Dell Gaming Laptop PC: Intel i7! 16GB RAM! 512 SSD! AMD FirePro W5130M!",EUR 245.96,Good - Refurbished,+EUR 45.57 shipping
HP Victus 15.6 144Hz Gaming Laptop Intel i7-13620H 16GB RAM 512GB SSD RTX 4060,EUR 801.78,Brand New,+EUR 71.44 shipping
Lenovo ThinkPad L580 (20LX) i5-8350U 8GB 256GB SSD WIN11 PRO Full HD,EUR 199.90,Good - Refurbished,+EUR 15.99 shipping
"Lenovo ThinkPad E460 Laptop PC 14"" Core i5 8GB RAM 128GB SSD Windows 10",EUR 109.03,Very Good - Refurbished,+EUR 39.04 shipping
Dell Latitude 5500 Laptop PC 15.6” Core i5 4-Core 16GB RAM 256GB SSD Windows 11,EUR 163.99,Very Good - Refurbished,+EUR 47.87 shipping
DELL 14” SCREEN LAPTOP QUAD-CORE i7 32GB RAM 512GB SSD WEBCAM BLUETOOTH Win11Pro,EUR 214.11,Pre-Owned,+EUR 39.62 shipping
"DELL LATITUDE E5550 Laptop Computer 15"" 1080p Windows 11 i7 16GB 512GB SSD WiFi",EUR 191.33,Excellent - Refurbished,+EUR 38.88 shipping
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook i5-12450HX 12GB DDR5 512GB RTX 2050",EUR 492.00,Brand New,+EUR 58.53 shipping
Dell Latitude 5440 - i7-1355U - 512GB NVME - 16GB - Win11,EUR 600.00,Brand New,+EUR 20.00 shipping
"Lenovo ThinkPad Z16 Gen 1 16"" Notebook AMD Ryzen 7 PRO 16GB 1TB SSD RAM Grey",EUR 747.11,Brand New,+EUR 80.03 shipping
DELL Latitude 7210 2-in-1 Convertible i5-10310U 16GB 512GB Win11 Excellent,EUR 469.00,Excellent - Refurbished,+EUR 14.99 shipping
